"Gender","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","class"
"Male",5,2,4.8,6,4.8,3.6,0,5,3,3,5,33,9,30,3,"B",0,"L",6562,3512,2954,"Y"
"Female",3,3,3.6,6,3.6,2.4,0,4,3,1,4,59,25,10,2,"B",0,"D",1676,6925,273,"N"
"Female",5,2,2.4,2.4,6,2.4,0,2,3,4,5,28,9,20,4,"P",0,"L",7131,3052,3326,"Y"
"Male",4,2,3.6,4.8,3.6,3.6,0,4,3,5,4,49,25,30,3,"B",0,"L",4949,1348,581,"Y"
"Female",4,2,4.8,4.8,4.8,4.8,0,3,1,5,5,35,25,40,4,"P",0,"L",5414,1324,453,"Y"
"Female",3,3,4.8,2.4,3.6,1.2,0,2,1,4,4,26,1,40,3,"B",34,"D",986,994,468,"N"
"Female",5,0,3.6,4.8,3.6,4.8,0,4,3,4,4,39,4,40,3,"B",29,"L",4283,3245,571,"Y"
"Female",4,1,4.8,4.8,3.6,6,21,5,1,3,4,34,1,50,5,"P",7,"L",75,6290,585,"N"
"Male",5,2,4.8,4.8,6,0,36,3,1,4,2,33,1,30,2,"B",28,"D",7762,6868,588,"N"
"Male",5,2,3.6,6,3.6,3.6,33,5,3,2,5,53,1,30,3,"B",0,"L",1961,3702,3777,"Y"
"Male",5,5,6,4.8,3.6,0,0,2,1,1,5,18,25,10,4,"B",0,"L",4434,8064,327,"N"
"Male",2,4,3.6,6,6,3.6,0,1,3,4,1,38,1,30,3,"B",15,"D",3389,1824,221,"N"
"Male",3,3,3.6,6,6,3.6,0,5,3,5,4,35,9,40,3,"B",0,"D",6544,7439,1587,"N"
"Female",4,2,6,6,4.8,1.2,0,1,3,5,4,22,9,10,1,"B",5,"L",9035,3983,241,"Y"
"Male",4,5,6,3.6,3.6,4.8,6,3,1,3,5,26,16,40,4,"P",0,"L",8633,5186,1036,"N"
"Male",2,4,6,3.6,3.6,4.8,0,1,3,2,3,15,1,40,4,"B",0,"L",6326,2153,391,"N"
"Female",2,4,1.2,2.4,3.6,4.8,132,4,3,4,3,55,16,40,4,"P",0,"L",5794,8290,1730,"Y"
"Female",3,0,3.6,2.4,6,3.6,345,3,1,5,1,21,25,40,3,"B",0,"D",1369,7916,760,"N"
"Male",3,1,3.6,3.6,6,4.8,0,2,1,2,4,70,16,10,2,"B",30,"L",7070,8168,2845,"N"
"Male",2,2,4.8,6,4.8,3.6,0,2,1,2,1,16,1,10,2,"B",0,"L",156,2442,946,"N"
"Male",4,5,4.8,3.6,4.8,4.8,0,3,1,5,3,54,25,30,3,"B",0,"L",3485,6932,227,"N"
"Male",4,1,3.6,1.2,1.2,2.4,291,3,1,4,5,37,16,20,2,"P",129,"L",957,8225,475,"Y"
"Male",1,1,4.8,3.6,1.2,6,145,4,3,5,3,40,25,50,4,"B",0,"L",1421,8789,2687,"Y"
"Female",4,5,4.8,6,6,3.6,18,4,3,4,4,32,16,30,3,"P",0,"L",284,5834,2353,"Y"
"Male",2,5,4.8,2.4,2.4,2.4,4,1,1,3,2,57,4,20,3,"B",37,"L",4107,9717,2342,"N"
"Male",3,2,6,4.8,1.2,1.2,80,1,2,1,4,45,1,40,1,"B",0,"L",4206,5146,353,"N"
"Female",5,3,3.6,3.6,4.8,3.6,5,2,1,2,3,38,9,30,3,"B",10,"L",7184,9755,442,"N"
"Male",4,2,2.4,4.8,4.8,1.2,0,4,3,5,4,57,9,10,1,"B",0,"L",2684,7391,3644,"Y"
"Female",2,4,4.8,4.8,6,6,1,4,3,3,4,42,9,50,5,"P",0,"L",524,8712,986,"Y"
"Male",2,3,4.8,4.8,4.8,6,16,4,3,1,3,25,16,50,5,"B",4,"L",5929,2518,2302,"N"
"Male",2,1,2.4,6,6,4.8,2,2,1,1,5,22,9,20,2,"B",0,"L",1264,7875,1303,"N"
"Female",2,5,3.6,4.8,6,6,0,4,3,5,4,56,25,50,5,"P",134,"L",5162,8097,2197,"Y"
"Male",5,4,1.2,1.2,3.6,3.6,0,1,1,1,4,21,16,30,3,"B",2,"D",1412,4099,227,"N"
"Male",5,2,3.6,4.8,6,4.8,21,3,1,3,4,63,9,20,3,"B",6,"L",1116,9368,335,"N"
"Female",1,3,1.2,3.6,4.8,3.6,0,3,3,5,3,60,16,30,2,"P",12,"L",1931,8158,1303,"Y"
"Male",3,2,4.8,4.8,6,3.6,41,4,3,3,4,44,25,30,3,"P",35,"L",2842,9136,3102,"Y"
"Female",4,5,3.6,6,6,6,0,3,1,3,4,9,16,40,0,"B",0,"L",1704,8016,785,"Y"
"Female",3,4,6,3.6,2.4,3.6,2,3,2,4,4,38,9,40,3,"B",0,"D",9865,5528,1133,"N"
"Male",3,2,2.4,4.8,6,4.8,0,1,1,3,3,8,16,40,3,"B",0,"L",412,5573,789,"N"
"Male",1,1,6,2.4,3.6,6,2,3,1,5,5,35,1,50,5,"B",0,"L",9363,4683,1010,"Y"
"Male",3,3,3.6,2.4,6,6,218,2,3,4,1,61,16,50,4,"B",0,"L",5624,8159,3789,"Y"
"Female",3,1,4.8,3.6,4.8,4.8,0,3,3,3,3,40,25,40,4,"P",0,"L",4902,3379,2165,"Y"
"Female",2,5,4.8,3.6,2.4,3.6,0,2,1,4,1,22,4,40,4,"B",5,"L",4742,4942,214,"Y"
"Male",3,1,3.6,3.6,4.8,2.4,10,4,3,2,3,49,1,20,2,"B",9,"L",3438,7787,3805,"N"
"Female",3,2,4.8,4.8,3.6,2.4,1,2,1,4,5,50,16,20,2,"B",42,"L",6715,8037,817,"Y"
"Female",2,4,4.8,2.4,4.8,2.4,23,1,1,2,4,20,4,30,2,"P",0,"D",6412,6238,733,"N"
"Male",4,1,2.4,1.2,4.8,4.8,0,3,1,4,3,25,4,40,4,"B",16,"D",1717,9839,860,"N"
"Female",3,2,6,6,1.2,6,0,4,1,4,1,22,4,20,4,"B",0,"D",3005,926,129,"Y"
"Female",1,5,6,2.4,6,3.6,0,4,1,3,3,28,4,30,3,"B",0,"L",7453,6048,872,"N"
"Female",4,1,6,2.4,6,3.6,28,4,1,2,2,24,9,20,2,"B",34,"D",6064,166,319,"N"
"Male",4,1,4.8,3.6,3.6,6,0,2,1,2,5,39,9,20,3,"P",0,"L",576,2842,152,"N"
"Male",3,3,2.4,4.8,3.6,1.2,83,1,1,1,3,47,4,30,3,"B",18,"D",7176,2813,608,"N"
"Male",5,4,4.8,2.4,6,3.6,57,2,1,2,4,25,16,40,2,"B",0,"D",8096,9181,480,"N"
"Female",4,3,6,2.4,3.6,1.2,0,1,1,3,5,27,9,30,1,"B",0,"D",7027,5369,844,"N"
"Male",1,4,3.6,2.4,3.6,4.8,0,1,3,4,2,39,1,40,4,"P",8,"L",5298,8899,1832,"N"
"Male",4,4,2.4,6,3.6,6,10,4,3,5,4,23,9,50,5,"B",16,"L",7558,35,563,"Y"
"Female",5,3,4.8,2.4,6,3.6,1,2,1,1,2,45,1,30,3,"B",0,"L",492,1514,146,"N"
"Female",4,5,6,2.4,4.8,1.2,57,3,3,4,2,55,16,10,1,"B",0,"L",9331,6484,3204,"N"
"Female",5,2,4.8,2.4,2.4,6,55,1,1,4,2,62,9,30,1,"B",0,"L",658,9953,920,"N"
"Male",3,3,2.4,1.2,3.6,0,8,2,1,1,4,38,1,40,0,"B",0,"D",2217,5663,321,"N"
"Female",3,1,6,2.4,6,3.6,0,2,3,2,2,66,16,30,3,"P",2,"L",3476,4958,280,"N"
"Female",4,2,4.8,6,4.8,3.6,0,5,3,4,5,49,9,30,3,"B",7,"L",1831,5533,134,"Y"
"Female",5,1,4.8,3.6,4.8,3.6,31,2,1,5,4,24,9,40,2,"B",30,"L",4403,1456,370,"N"
"Female",3,5,4.8,1.2,2.4,1.2,5,1,3,3,1,58,16,10,1,"P",15,"L",2214,9704,1611,"N"
"Male",4,4,4.8,3.6,1.2,4.8,5,5,3,4,4,22,16,40,4,"B",0,"L",1618,6453,2083,"Y"
"Female",4,1,4.8,6,4.8,6,2,2,1,2,5,16,9,20,2,"B",0,"L",5159,861,1379,"N"
"Female",1,2,4.8,1.2,1.2,4.8,2,4,1,1,3,65,16,40,4,"B",5,"L",6831,387,337,"N"
"Female",4,1,3.6,3.6,4.8,3.6,0,4,3,3,2,31,4,30,3,"P",39,"L",3520,7666,3492,"Y"
"Female",1,1,2.4,6,1.2,6,41,3,2,4,5,58,16,20,2,"B",107,"L",4526,9810,663,"N"
"Female",5,2,6,3.6,3.6,6,27,4,3,5,5,26,9,50,5,"B",0,"L",7923,1658,2833,"Y"
"Male",5,3,6,6,4.8,6,7,4,1,1,4,26,25,30,1,"P",17,"D",6025,1594,277,"N"
"Male",2,3,4.8,1.2,6,6,0,0,3,4,1,35,25,20,0,"B",0,"L",9442,4395,226,"Y"
"Female",5,2,3.6,3.6,1.2,1.2,0,5,3,5,4,23,25,10,1,"B",0,"L",9723,407,1440,"Y"
"Female",3,1,2.4,3.6,1.2,6,168,4,3,4,5,26,16,50,5,"P",0,"L",2908,1717,265,"Y"
"Female",3,3,4.8,3.6,2.4,1.2,0,4,3,3,3,59,9,10,1,"B",0,"L",3314,5707,3641,"Y"
"Male",2,4,4.8,4.8,6,6,0,5,1,5,4,37,16,30,0,"B",11,"L",4075,900,612,"N"
"Male",2,4,4.8,4.8,4.8,4.8,0,4,2,3,4,68,16,40,4,"B",8,"L",9301,9813,334,"N"
"Female",4,3,3.6,3.6,4.8,2.4,0,4,3,5,3,54,25,20,2,"B",0,"L",9434,904,414,"Y"
"Female",2,1,6,2.4,4.8,4.8,19,2,3,4,2,45,16,40,4,"P",0,"L",1026,7758,1634,"Y"
"Male",5,2,1.2,4.8,6,3.6,53,5,3,4,4,29,25,30,5,"B",0,"L",291,4684,3586,"Y"
"Male",4,5,1.2,2.4,4.8,4.8,1,1,3,2,2,23,4,20,2,"B",0,"L",4861,5098,383,"N"
"Female",5,1,6,1.2,4.8,4.8,21,1,2,3,1,53,9,40,1,"P",11,"L",4931,4096,802,"N"
"Female",3,3,6,2.4,4.8,2.4,61,2,3,1,2,55,9,20,4,"B",0,"L",6842,8430,862,"N"
"Male",1,4,1.2,6,4.8,6,0,5,3,5,5,42,25,50,5,"P",14,"L",6234,9033,2889,"Y"
"Female",2,4,3.6,1.2,6,1.2,0,5,2,3,4,10,9,10,1,"B",0,"L",23,2316,1010,"N"
"Male",4,3,4.8,4.8,4.8,2.4,0,4,1,1,3,42,9,20,3,"B",12,"L",776,3813,1068,"N"
"Female",5,4,6,4.8,3.6,6,33,4,3,4,4,38,9,50,5,"B",0,"L",5884,5116,1605,"Y"
"Female",4,1,4.8,4.8,2.4,4.8,8,4,3,3,4,41,9,40,4,"B",0,"L",3627,9545,3517,"Y"
"Female",3,4,6,3.6,3.6,4.8,0,5,1,3,4,36,16,40,2,"B",0,"L",8867,7281,502,"N"
"Male",5,1,6,4.8,2.4,2.4,16,3,3,5,5,30,25,20,2,"B",16,"L",8138,4457,2835,"Y"
"Female",2,2,4.8,6,2.4,4.8,0,5,1,1,5,40,16,30,4,"B",10,"L",3249,3281,645,"N"
"Female",2,2,3.6,6,2.4,6,0,3,1,4,4,26,9,50,5,"P",9,"L",1457,3166,1011,"Y"
"Male",4,3,4.8,1.2,3.6,6,0,1,2,1,4,15,1,50,5,"B",0,"L",5736,6209,808,"N"
"Female",2,4,4.8,2.4,6,4.8,33,3,2,3,4,48,16,40,4,"B",6,"L",4566,2972,304,"N"
"Male",2,2,4.8,4.8,6,3.6,0,4,3,3,4,47,9,30,1,"B",9,"L",3334,7356,2288,"Y"
"Female",5,1,6,4.8,4.8,1.2,0,4,3,5,4,39,16,50,5,"P",0,"L",4704,9651,1824,"Y"
"Female",4,5,4.8,2.4,6,3.6,58,2,3,3,2,54,9,30,3,"B",0,"L",6430,6507,227,"N"
"Female",1,3,6,3.6,4.8,6,0,2,1,3,3,44,25,20,2,"B",10,"L",213,9054,452,"N"
"Female",5,4,4.8,4.8,3.6,4.8,1,4,3,2,5,37,9,20,4,"P",32,"D",3278,2387,491,"Y"
"Female",4,4,4.8,6,4.8,3.6,26,5,3,5,5,49,9,30,3,"B",145,"L",597,8436,644,"Y"
"Male",1,2,6,3.6,4.8,6,0,2,3,2,3,46,4,50,5,"B",0,"L",1575,1925,1846,"N"
"Male",3,2,3.6,6,6,6,0,2,1,5,5,69,9,10,4,"P",0,"L",2091,6742,936,"N"
"Female",4,1,3.6,6,3.6,4.8,23,4,3,5,2,76,25,40,4,"B",32,"L",5531,6968,3680,"Y"
"Male",5,0,4.8,6,4.8,0,57,5,3,5,5,25,25,40,3,"B",18,"D",7152,5824,1739,"N"
"Male",4,4,4.8,6,6,1.2,0,2,3,1,4,22,9,20,4,"B",2,"D",8194,4786,545,"Y"
"Male",3,5,1.2,3.6,4.8,0,0,4,3,5,1,22,9,40,5,"B",0,"D",2704,6241,231,"Y"
"Male",5,4,6,6,3.6,3.6,0,5,1,4,5,47,9,30,3,"B",0,"L",4896,8653,370,"Y"
"Male",5,3,1.2,6,6,4.8,0,5,3,3,5,59,16,40,4,"P",26,"L",5427,9025,569,"Y"
"Male",4,2,3.6,3.6,6,2.4,0,3,1,5,3,39,9,30,0,"P",0,"L",8870,6386,425,"Y"
"Female",1,2,2.4,4.8,4.8,3.6,3,4,3,2,4,73,9,30,3,"B",0,"L",7143,6538,2047,"N"
"Male",5,2,4.8,4.8,3.6,3.6,1,1,1,5,3,41,25,30,3,"B",0,"D",6796,4934,1208,"N"
"Female",2,2,6,4.8,4.8,2.4,0,3,1,2,4,24,9,40,2,"P",0,"D",9529,6670,260,"N"
"Female",1,2,1.2,3.6,1.2,2.4,1,3,3,4,3,53,16,20,2,"B",0,"L",4160,8582,427,"Y"
"Male",2,1,2.4,3.6,4.8,3.6,12,3,3,1,3,62,4,30,3,"B",2,"L",6983,1675,244,"N"
"Male",4,1,4.8,4.8,4.8,0,0,4,3,3,4,58,9,20,0,"B",0,"L",9997,2362,3306,"Y"
"Male",2,1,6,3.6,4.8,0,4,3,3,4,3,44,25,30,0,"B",0,"L",8332,8459,306,"Y"
"Male",3,4,1.2,4.8,3.6,6,5,5,3,4,4,52,9,50,5,"P",0,"L",5528,3565,3457,"Y"
"Male",4,3,4.8,3.6,3.6,6,91,4,1,1,5,21,16,30,2,"B",0,"L",8693,883,157,"N"
"Male",2,3,6,2.4,3.6,6,0,2,3,3,2,61,16,50,3,"P",9,"L",63,4131,1334,"N"
"Male",5,2,6,6,6,3.6,0,5,3,3,5,40,25,30,3,"B",91,"L",3750,7798,250,"Y"
"Female",3,5,6,4.8,6,1.2,54,1,1,2,4,21,1,30,0,"B",3,"L",6606,1010,672,"N"
"Female",4,1,6,6,2.4,1.2,7,5,3,5,5,30,25,10,1,"B",2,"L",6439,5043,3131,"Y"
"Female",5,1,2.4,2.4,4.8,4.8,0,3,1,5,2,41,1,30,2,"B",1,"L",4311,8127,644,"N"
"Male",4,2,4.8,4.8,6,6,0,4,3,4,4,51,25,50,5,"B",0,"L",6429,3403,1084,"Y"
"Female",4,2,2.4,4.8,6,1.2,2,4,2,3,2,69,1,10,4,"B",16,"L",1117,1575,163,"Y"
"Male",3,2,6,1.2,6,4.8,0,4,1,5,3,29,25,40,1,"B",3,"L",5046,8998,1744,"Y"
"Female",2,1,3.6,1.2,1.2,6,0,1,3,4,1,49,9,50,5,"P",0,"L",1080,3432,2586,"N"
"Male",3,1,3.6,6,3.6,3.6,0,3,3,4,4,28,16,30,3,"B",0,"L",1942,142,1990,"Y"
"Female",5,2,4.8,3.6,3.6,4.8,0,4,3,4,4,21,25,40,4,"B",0,"L",8886,1455,697,"Y"
"Male",4,3,2.4,3.6,4.8,1.2,0,3,1,4,3,61,4,40,2,"B",10,"L",8603,708,544,"N"
"Female",4,1,3.6,4.8,2.4,1.2,0,4,3,5,4,60,25,10,1,"P",0,"L",7966,2233,1706,"Y"
"Male",4,2,4.8,3.6,3.6,6,5,4,1,4,4,8,9,30,4,"P",15,"L",2259,381,895,"N"
"Female",5,2,1.2,4.8,4.8,3.6,0,4,3,1,4,36,25,30,3,"P",0,"D",3433,9285,423,"N"
"Male",1,5,3.6,1.2,2.4,6,29,1,1,1,4,56,25,20,2,"P",73,"L",2867,9060,432,"N"
"Female",3,1,4.8,6,6,6,10,2,1,4,5,47,25,40,3,"B",38,"L",2635,6008,562,"N"
"Male",2,1,3.6,4.8,6,0,0,2,3,2,5,30,9,50,0,"P",37,"D",7523,13,992,"N"
"Female",4,0,4.8,4.8,4.8,0,0,1,1,2,4,56,16,50,1,"B",0,"L",6690,5210,216,"N"
"Female",2,2,6,3.6,6,2.4,0,2,2,2,3,64,16,20,2,"P",8,"L",7391,8305,315,"N"
"Female",5,4,4.8,3.6,3.6,4.8,0,3,1,3,5,49,25,50,5,"P",0,"L",9542,1316,1005,"Y"
"Male",3,5,4.8,4.8,3.6,6,0,2,1,3,5,22,16,20,3,"B",5,"D",1197,7835,588,"N"
"Male",1,4,3.6,4.8,6,4.8,0,4,3,5,4,41,9,40,4,"B",0,"L",8044,8905,236,"Y"
"Male",5,1,4.8,4.8,4.8,4.8,85,2,1,3,4,61,16,30,2,"B",34,"L",3167,8802,310,"N"
"Female",2,2,6,4.8,6,6,0,4,3,4,4,48,9,50,5,"P",12,"L",5116,1552,934,"Y"
"Male",4,5,2.4,2.4,4.8,1.2,0,4,1,2,3,58,16,40,3,"B",39,"L",9073,8677,163,"N"
"Male",1,2,6,3.6,4.8,3.6,26,1,1,2,2,11,1,50,5,"B",0,"L",3841,7466,978,"N"
"Male",2,5,3.6,4.8,6,3.6,0,4,1,2,4,51,4,30,3,"B",0,"L",8962,7522,1023,"Y"
"Male",3,2,4.8,6,4.8,1.2,0,5,3,3,5,53,9,10,1,"B",28,"L",8783,1574,2075,"Y"
"Male",2,2,1.2,4.8,3.6,6,0,4,3,5,4,56,16,50,5,"B",0,"L",6495,5225,1530,"Y"
"Male",4,5,4.8,6,3.6,1.2,0,5,3,5,5,49,16,10,4,"B",0,"L",3053,5248,2135,"Y"
"Male",3,1,3.6,3.6,2.4,4.8,0,2,1,4,4,40,16,10,2,"B",0,"L",3364,9008,861,"N"
"Male",2,2,2.4,4.8,6,4.8,0,2,3,5,1,11,4,30,4,"B",0,"L",9550,1331,472,"Y"
"Female",4,2,3.6,6,1.2,1.2,0,5,3,4,5,51,25,10,1,"B",0,"L",2852,6104,967,"Y"
"Female",4,2,4.8,3.6,4.8,4.8,18,3,3,5,5,27,25,40,4,"B",3,"L",286,8151,1884,"Y"
"Female",3,3,6,1.2,6,6,6,2,3,1,1,54,16,50,4,"B",1,"L",1788,615,3434,"N"
"Male",3,3,4.8,6,3.6,6,0,3,1,5,2,12,25,30,3,"P",0,"L",8818,3626,331,"N"
"Female",5,4,6,6,3.6,1.2,32,3,3,2,4,35,25,20,1,"B",0,"D",8933,4719,2586,"N"
"Male",5,2,4.8,6,6,6,0,5,3,2,5,37,1,50,5,"B",122,"L",1243,6827,2079,"Y"
"Male",4,3,6,3.6,3.6,6,14,5,1,2,5,70,9,40,1,"B",0,"L",3211,6379,1142,"N"
"Female",4,2,3.6,2.4,6,3.6,1,2,3,2,4,31,9,30,3,"B",0,"L",6655,6251,1744,"N"
"Female",4,3,4.8,2.4,3.6,3.6,0,4,1,4,3,53,25,30,3,"B",17,"L",8151,9421,1721,"Y"
"Male",3,1,4.8,2.4,4.8,4.8,37,3,1,1,4,22,4,30,4,"B",0,"D",6448,5687,2475,"N"
"Male",4,5,3.6,3.6,4.8,3.6,0,3,3,3,3,32,25,30,3,"B",0,"L",4796,7561,714,"Y"
"Male",5,4,4.8,3.6,4.8,6,4,4,2,3,4,35,9,30,3,"P",31,"L",3673,6715,224,"N"
"Male",4,3,6,6,6,2.4,0,2,3,5,4,33,9,20,2,"P",109,"L",161,1565,1609,"Y"
"Male",2,2,6,4.8,2.4,6,56,3,1,4,2,21,9,10,5,"B",0,"D",2095,7028,679,"Y"
"Female",3,3,1.2,6,4.8,2.4,8,5,3,4,5,46,25,20,2,"B",0,"L",6010,5390,308,"Y"
"Male",4,2,3.6,3.6,3.6,6,0,3,3,3,3,54,4,50,5,"P",0,"L",5595,4693,1020,"N"
"Female",3,4,4.8,4.8,6,3.6,0,4,3,5,4,42,9,30,1,"P",131,"L",8065,1566,3227,"Y"
"Male",3,3,1.2,4.8,2.4,2.4,35,1,1,2,3,21,9,20,2,"B",0,"D",5278,3367,2139,"N"
"Male",2,3,6,2.4,4.8,3.6,0,2,3,1,2,37,4,30,1,"P",203,"L",6822,2830,1737,"Y"
"Female",5,1,6,1.2,2.4,4.8,0,1,3,4,1,65,1,40,4,"P",4,"L",7618,7446,106,"N"
"Female",1,3,1.2,6,2.4,4.8,0,4,1,3,5,26,25,40,1,"P",19,"L",2048,8230,236,"N"
"Female",2,1,4.8,3.6,1.2,1.2,0,2,1,1,1,56,4,20,4,"B",17,"L",6605,8616,931,"N"
"Female",4,2,6,4.8,6,1.2,0,3,3,3,4,13,16,10,1,"B",0,"L",4908,6061,2422,"Y"
"Female",1,2,4.8,2.4,4.8,6,0,2,3,3,2,39,4,50,5,"B",0,"L",6350,7874,3657,"N"
"Female",1,1,4.8,3.6,1.2,6,0,5,3,5,4,30,25,50,5,"B",0,"L",7268,4246,1182,"Y"
"Female",5,1,6,6,4.8,4.8,2,5,1,5,5,48,4,40,4,"P",0,"L",654,3660,429,"Y"
"Female",3,2,4.8,3.6,4.8,2.4,42,3,3,4,3,50,4,20,2,"B",0,"L",5212,6492,708,"N"
"Male",2,4,1.2,3.6,4.8,6,1,2,2,5,4,54,25,40,4,"B",0,"L",8436,7548,563,"N"
"Male",5,5,4.8,6,6,1.2,3,5,3,5,5,54,9,10,1,"B",0,"L",4638,3071,2353,"Y"
"Female",2,3,4.8,4.8,6,2.4,0,4,3,4,4,54,9,20,4,"B",10,"L",4794,7436,189,"Y"
"Male",2,2,6,2.4,6,3.6,0,4,3,3,5,29,16,30,3,"B",0,"L",5375,563,539,"Y"
"Male",2,1,6,4.8,6,6,31,3,3,3,5,22,16,10,3,"P",0,"L",2552,2977,1524,"N"
"Female",2,3,4.8,3.6,4.8,3.6,54,3,1,5,5,48,25,30,3,"P",3,"L",520,8027,224,"Y"
"Male",4,2,4.8,4.8,3.6,4.8,0,4,3,5,4,47,16,40,4,"B",0,"L",9003,586,1528,"Y"
"Female",2,3,2.4,2.4,6,1.2,0,3,3,1,2,52,4,10,5,"B",11,"L",18,5174,3094,"N"
"Male",3,1,4.8,3.6,4.8,4.8,4,2,1,1,4,56,16,20,2,"B",73,"L",46,3468,1723,"N"
"Male",2,4,6,2.4,6,2.4,0,2,1,3,4,38,1,20,2,"B",29,"L",7309,7342,406,"N"
"Male",4,4,2.4,6,2.4,1.2,50,5,3,5,5,40,16,10,1,"P",0,"L",4525,5604,447,"Y"
"Male",5,1,4.8,2.4,6,1.2,0,1,3,2,4,25,16,10,1,"P",10,"L",9197,1246,1963,"N"
"Female",3,1,6,2.4,6,1.2,0,4,1,1,4,39,9,40,1,"B",0,"D",578,9404,102,"N"
"Female",3,3,3.6,3.6,3.6,6,4,5,2,1,5,59,25,30,3,"B",83,"L",798,3898,364,"N"
"Female",3,5,3.6,1.2,1.2,4.8,50,1,3,3,1,41,25,10,0,"B",0,"L",5234,9326,120,"Y"
"Male",5,4,6,6,4.8,0,14,3,3,1,5,28,9,10,0,"B",0,"D",5945,2778,543,"Y"
"Female",4,4,4.8,1.2,3.6,3.6,50,4,2,3,4,15,16,30,3,"B",0,"L",5166,1022,1188,"N"
"Male",4,1,3.6,3.6,4.8,3.6,0,5,2,1,3,39,9,30,3,"P",0,"L",3349,334,919,"N"
"Female",3,2,3.6,3.6,2.4,3.6,0,4,3,5,1,22,9,30,3,"B",2,"L",316,6556,521,"Y"
"Male",4,4,3.6,1.2,1.2,0,2,5,1,3,3,56,9,10,2,"B",0,"D",3650,3831,237,"N"
"Male",2,4,2.4,1.2,1.2,2.4,0,5,1,2,3,34,9,20,2,"B",2,"L",8510,4579,239,"N"
"Male",3,3,6,3.6,3.6,4.8,0,5,1,3,3,66,9,40,5,"B",0,"L",5830,2328,429,"Y"
"Male",4,5,3.6,4.8,3.6,4.8,0,2,1,2,5,18,25,30,0,"B",0,"L",1159,6049,337,"Y"
"Male",4,3,4.8,6,6,2.4,4,5,3,4,4,16,9,20,2,"P",12,"L",1085,5887,2105,"Y"
"Female",2,4,1.2,4.8,4.8,4.8,86,2,3,5,5,21,9,50,1,"B",23,"L",24,87,447,"N"
"Male",4,1,4.8,2.4,6,1.2,0,3,3,4,1,29,9,10,1,"B",0,"L",3983,8415,692,"Y"
"Female",2,2,6,4.8,1.2,3.6,1,4,3,5,4,43,16,30,3,"B",34,"L",2068,2572,2312,"Y"
"Male",5,5,3.6,4.8,6,6,0,2,1,5,4,52,25,30,2,"B",0,"L",8099,3802,1846,"N"
"Female",4,1,3.6,4.8,2.4,6,0,4,3,3,4,43,16,50,5,"B",28,"L",1251,3959,3385,"Y"
"Female",3,3,2.4,4.8,3.6,6,0,4,3,4,4,43,9,50,5,"B",0,"L",8664,6995,2466,"Y"
"Male",4,2,2.4,4.8,1.2,4.8,44,4,3,4,4,9,9,40,3,"B",0,"L",5589,4595,931,"N"
"Male",2,1,2.4,4.8,4.8,4.8,0,4,3,5,4,78,25,40,4,"B",44,"L",4576,6914,1845,"Y"
"Male",5,5,6,3.6,4.8,4.8,0,4,1,1,3,36,4,40,1,"B",38,"L",6846,7513,1576,"N"
"Male",2,1,4.8,6,4.8,1.2,17,5,3,5,5,51,25,10,1,"P",0,"L",7125,784,1660,"Y"
"Male",1,3,4.8,6,2.4,3.6,30,5,3,5,5,58,25,30,3,"B",0,"L",3273,8584,2999,"Y"
"Male",1,5,6,6,6,6,0,4,1,4,5,57,16,50,2,"P",14,"L",1611,6423,250,"N"
"Male",1,2,3.6,4.8,6,4.8,0,4,3,5,4,50,25,40,4,"B",4,"L",7711,7452,184,"Y"
"Male",3,4,6,2.4,3.6,0,0,1,1,4,4,21,16,40,4,"B",0,"D",5682,8549,521,"Y"
"Male",4,3,2.4,3.6,1.2,4.8,0,5,1,4,5,25,16,40,2,"B",0,"D",9064,800,649,"N"
"Female",2,2,2.4,3.6,6,1.2,1,3,3,5,5,32,16,10,1,"B",20,"L",9404,9744,2095,"Y"
"Male",4,3,3.6,4.8,2.4,4.8,0,4,3,2,4,60,16,20,2,"B",10,"L",3468,783,434,"Y"
"Male",1,4,4.8,2.4,2.4,2.4,22,2,3,2,2,59,9,20,2,"B",7,"L",6980,1689,281,"N"
"Female",2,0,4.8,3.6,6,6,7,4,1,2,4,27,16,30,3,"B",76,"L",9457,8441,459,"N"
"Male",2,2,4.8,3.6,4.8,1.2,0,5,3,3,5,41,16,20,1,"P",0,"D",6060,1402,1670,"N"
"Female",2,4,4.8,4.8,3.6,2.4,0,5,1,3,3,35,9,30,4,"B",73,"D",6874,7025,507,"N"
"Male",2,4,4.8,3.6,4.8,2.4,0,3,3,4,3,35,4,20,2,"P",0,"L",1668,8298,416,"N"
"Male",4,4,3.6,1.2,2.4,0,8,1,3,2,1,80,9,40,0,"B",0,"D",6820,3808,206,"N"
"Female",2,3,6,4.8,6,3.6,0,4,1,4,3,22,9,40,3,"B",0,"D",242,2395,188,"N"
"Male",1,3,6,6,3.6,6,0,2,1,2,4,28,16,30,4,"B",0,"L",1363,1328,349,"N"
"Male",3,3,2.4,6,2.4,1.2,0,5,3,4,5,57,9,10,1,"P",0,"L",820,6634,236,"Y"
"Female",2,4,4.8,2.4,3.6,0,0,2,3,5,2,39,25,40,0,"B",14,"L",8535,2784,3570,"Y"
